anno;mese;outlet;acquirer;merchant_code;payment_contract;regime;transato;commissioni;acquiring_fisso;bollo;fonte
2025;12;BRB;amex;7377153036;;lordo;945.00;8.51;0.00;0.00;documento
2025;12;BRB;nexi;LN0005458723;PC0001379716;netto;34603.09;274.63;2.50;2.00;documento
2025;12;BRG;amex;7379416167;;lordo;731.73;6.59;0.00;0.00;documento
2025;12;BRG;amex;7379605249;;lordo;688.76;6.20;0.00;0.00;documento
2025;12;BRG;nexi;LN0005533489;PC0001450042;netto;14837.60;108.99;2.50;2.00;documento
2025;12;FRC;amex;7377511100;;lordo;882.00;7.95;0.00;0.00;documento
2025;12;FRC;nexi;LN0005489545;PC0001396411;netto;35896.32;253.70;2.50;2.00;documento
2025;12;PLM;amex;7378034250;;lordo;329.65;2.97;0.00;0.00;documento
2025;12;PLM;nexi;LN0005475974;PC0001392693;netto;31074.66;240.74;2.50;2.00;documento
2025;12;VDC;amex;7373035260;;lordo;1207.88;10.87;0.00;0.00;documento
2025;12;VDC;nexi;LN0004777495;PC0001000583;lordo;86223.08;651.06;2.50;2.00;documento
2025;12;VLM;amex;7543377782;;lordo;84.80;0.76;0.00;0.00;documento
2025;12;VLM;amex;7543394233;;lordo;1820.61;16.40;0.00;0.00;documento
2025;12;VLM;nexi;LN0005674696;PC0001488287;netto;69160.46;520.06;2.50;2.00;documento
2026;01;BRB;amex;7377153036;;lordo;945.15;8.52;0.00;0.00;documento
2026;01;BRB;nexi;LN0005458723;PC0001379716;netto;48828.20;360.93;2.50;2.00;documento
2026;01;BRG;amex;7379416167;;lordo;275.35;2.48;0.00;0.00;documento
2026;01;BRG;amex;7379605249;;lordo;114.50;1.03;0.00;0.00;documento
2026;01;BRG;nexi;LN0005533489;PC0001450042;netto;21525.55;159.02;2.50;2.00;documento
2026;01;FRC;amex;7377511100;;lordo;1349.10;12.15;0.00;0.00;documento
2026;01;FRC;nexi;LN0005489545;PC0001396411;netto;71165.30;539.28;2.50;2.00;documento
2026;01;PLM;amex;7378034250;;lordo;111.00;1.00;0.00;0.00;documento
2026;01;PLM;amex;7379455439;;lordo;314.62;2.83;0.00;0.00;documento
