mese;outlet;pv;contract;regime;negoziato;accrediti;commissioni;addebito_cc
2026-07;VDC;LN0004777495;PC0001000583;lordo;77033.20;77033.20;597.29;601.79
2026-07;PLM;LN0005475974;PC0001392693;netto;56185.04;55711.37;473.67;4.50
2026-07;TRN;LN0005755045;PC0001563440;netto;56392.07;55960.83;431.25;4.50
2026-07;VLM;LN0005674696;PC0001488287;netto;62180.23;61718.54;461.69;4.50
2026-07;FRC;LN0005489545;PC0001396411;netto;53626.19;53219.15;407.04;4.50
2026-07;BRB;LN0005458723;PC0001379716;netto;51436.59;51045.04;391.55;4.50
2026-07;BRG;LN0005533489;PC0001450042;netto;29884.62;29654.76;229.86;4.50
2026-06;VDC;LN0004777495;PC0001000583;lordo;54045.86;54045.86;405.09;409.59
2026-06;PLM;LN0005475974;PC0001392693;netto;37199.42;36898.42;301.00;4.50
2026-06;TRN;LN0005755045;PC0001563440;netto;49509.30;49120.63;388.67;4.50
2026-06;BRG;LN0005533489;PC0001450042;netto;16970.69;16848.35;122.34;4.50
2026-06;FRC;LN0005489545;PC0001396411;netto;41519.07;41183.60;335.47;4.50
2026-06;BRB;LN0005458723;PC0001379716;netto;32780.93;32509.53;271.40;4.50
2026-06;VLM;LN0005674696;PC0001488287;netto;33632.46;33377.60;254.86;4.50
2026-05;VDC;LN0004777495;PC0001000583;lordo;62307.71;62307.71;486.57;491.07
2026-05;PLM;LN0005475974;PC0001392693;netto;32157.96;31882.10;275.86;4.50
2026-05;BRG;LN0005533489;PC0001450042;netto;16953.90;16830.55;123.35;4.50
2026-05;FRC;LN0005489545;PC0001396411;netto;47678.09;47312.17;365.92;4.50
2026-05;BRB;LN0005458723;PC0001379716;netto;34647.20;34376.03;271.17;4.50
2026-05;TRN;LN0005755045;PC0001563440;netto;47803.75;47438.84;364.92;4.50
2026-05;VLM;LN0005674696;PC0001488287;netto;50214.09;49836.41;377.68;4.50
2026-04;VDC;LN0004777495;PC0001000583;lordo;47525.51;47525.51;352.65;357.15
2026-04;PLM;LN0005475974;PC0001392693;netto;31961.45;31715.45;246.01;4.50
2026-04;BRG;LN0005533489;PC0001450042;netto;14522.21;14409.17;113.04;4.50
2026-04;FRC;LN0005489545;PC0001396411;netto;43118.69;42795.61;323.08;4.50
2026-04;VLM;LN0005674696;PC0001488287;netto;35856.08;35588.41;267.68;4.50
2026-04;BRB;LN0005458723;PC0001379716;netto;34678.10;34426.07;252.03;4.50
2026-04;TRN;LN0005755045;PC0001563440;netto;38548.51;38249.97;298.54;4.50
2026-02;VLM;LN0005674696;PC0001488287;netto;23427.56;23258.76;168.80;4.50
2026-02;BRG;LN0005533489;PC0001450042;netto;10475.72;10396.48;79.24;4.50
2026-02;FRC;LN0005489545;PC0001396411;netto;43839.00;43520.49;318.51;4.50
2026-01;PLM;LN0005475974;PC0001392693;netto;33823.56;33518.20;305.36;4.50
